[*] Looking for AMF container process...
    pid=146560
    exe=/proc/146560/exe

    cgroup_id=26258

[*] Attaching uprobes...
[*] Attaching tracepoints...
  [tp]     syscalls/sys_enter_connect
  [tp]     syscalls/sys_exit_connect
  [tp]     syscalls/sys_enter_accept4
  [tp]     syscalls/sys_exit_accept4
  [tp]     syscalls/sys_enter_write
  [tp]     syscalls/sys_exit_read

[*] Tracing AMF (pid=146560). Ctrl+C to stop.

NF    API
────  ────────────────────────────────
[06:22:29.849490] AMF   WRITE    619    bytes  pid=146560
[06:22:29.849542] AMF   READ     39     bytes  pid=146560
[06:22:29.849562] AMF   READ     17     bytes  pid=146560
[06:22:29.849593] AMF   WRITE    9      bytes  pid=146560
[06:22:29.849738] AMF   READ     22     bytes  pid=146560
[06:22:29.857233] AMF   READ     62     bytes  pid=146560
[06:22:29.857272] AMF   READ     126    bytes  pid=146560
[06:22:29.857499] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:29.857514] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:29.857520] AMF   WRITE    44     bytes  pid=146560
[06:22:29.857528] AMF   WRITE    44     bytes  pid=146560
[06:22:29.857672] AMF   READ     64     bytes  pid=146560
[06:22:29.857710] AMF   READ     33     bytes  pid=146560
[06:22:29.857834] AMF   CONNECT  → 10.100.200.4:8000       pid=146560
[06:22:29.857910] AMF   WRITE    70     bytes  pid=146560
[06:22:29.858056] AMF   WRITE    128    bytes  pid=146560
[06:22:29.858085] AMF   WRITE    131    bytes  pid=146560
[06:22:29.858118] AMF   READ     39     bytes  pid=146560
[06:22:29.858131] AMF   WRITE    9      bytes  pid=146560
[06:22:29.858170] AMF   READ     22     bytes  pid=146560
[06:22:29.858370] AMF   READ     17     bytes  pid=146560
[06:22:29.862329] AMF   READ     63     bytes  pid=146560
[06:22:29.862483] AMF   READ     623    bytes  pid=146560
[06:22:29.862713] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:29.862713] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:29.862732] AMF   WRITE    44     bytes  pid=146560
[06:22:29.862732] AMF   WRITE    44     bytes  pid=146560
[06:22:29.862871] AMF   READ     33     bytes  pid=146560
[06:22:29.862919] AMF   READ     64     bytes  pid=146560
[06:22:29.863075] AMF   CONNECT  → 10.100.200.9:8000       pid=146560
[06:22:29.863142] AMF   WRITE    70     bytes  pid=146560
[06:22:29.863250] AMF   WRITE    582    bytes  pid=146560
[06:22:29.863292] AMF   READ     39     bytes  pid=146560
[06:22:29.863308] AMF   WRITE    9      bytes  pid=146560
[06:22:29.863594] AMF   READ     17     bytes  pid=146560
[06:22:29.863840] AMF   READ     22     bytes  pid=146560
[06:22:29.879515] AMF   READ     61     bytes  pid=146560
[06:22:29.879695] AMF   READ     11     bytes  pid=146560
[06:22:29.880092] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:29.880123] AMF   WRITE    44     bytes  pid=146560
[06:22:29.880215] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:29.880226] AMF   WRITE    44     bytes  pid=146560
[06:22:29.880393] AMF   READ     64     bytes  pid=146560
[06:22:29.880456] AMF   READ     33     bytes  pid=146560
[06:22:29.880753] AMF   CONNECT  → 10.100.200.4:8000       pid=146560
[06:22:29.880862] AMF   WRITE    70     bytes  pid=146560
[06:22:29.881053] AMF   WRITE    128    bytes  pid=146560
[06:22:29.881154] AMF   WRITE    131    bytes  pid=146560
[06:22:29.881235] AMF   READ     61     bytes  pid=146560
[06:22:29.881292] AMF   WRITE    9      bytes  pid=146560
[06:22:29.881731] AMF   READ     17     bytes  pid=146560
[06:22:29.889761] AMF   READ     63     bytes  pid=146560
[06:22:29.890120] AMF   READ     623    bytes  pid=146560
[06:22:29.890433] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:29.890433] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:29.890454] AMF   WRITE    44     bytes  pid=146560
[06:22:29.890454] AMF   WRITE    44     bytes  pid=146560
[06:22:29.890650] AMF   READ     33     bytes  pid=146560
[06:22:29.890693] AMF   READ     64     bytes  pid=146560
[06:22:29.890861] AMF   CONNECT  → 10.100.200.9:8000       pid=146560
[06:22:29.890932] AMF   WRITE    70     bytes  pid=146560
[06:22:29.891120] AMF   READ     17     bytes  pid=146560
[06:22:29.891160] AMF   READ     61     bytes  pid=146560
[06:22:29.891221] AMF   WRITE    583    bytes  pid=146560
[06:22:29.891313] AMF   WRITE    150    bytes  pid=146560
[06:22:29.891347] AMF   WRITE    9      bytes  pid=146560
[06:22:29.902206] AMF   READ     124    bytes  pid=146560
[06:22:29.902318] AMF   READ     172    bytes  pid=146560
[06:22:29.902750] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:29.902826] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:29.902865] AMF   WRITE    44     bytes  pid=146560
[06:22:29.902981] AMF   WRITE    44     bytes  pid=146560
[06:22:29.903304] AMF   READ     64     bytes  pid=146560
[06:22:29.903349] AMF   READ     33     bytes  pid=146560
[06:22:29.903532] AMF   CONNECT  → 10.100.200.4:8000       pid=146560
[06:22:29.903653] AMF   WRITE    70     bytes  pid=146560
[06:22:29.903836] AMF   WRITE    128    bytes  pid=146560
[06:22:29.903896] AMF   WRITE    132    bytes  pid=146560
[06:22:29.904060] AMF   READ     17     bytes  pid=146560
[06:22:29.904300] AMF   READ     61     bytes  pid=146560
[06:22:29.904312] AMF   WRITE    9      bytes  pid=146560
[06:22:29.910370] AMF   READ     63     bytes  pid=146560
[06:22:29.910618] AMF   WRITE    8      bytes  pid=146560
[06:22:29.910714] AMF   READ     8      bytes  pid=146560
[06:22:29.910748] AMF   READ     626    bytes  pid=146560
[06:22:29.911088] AMF   WRITE    559    bytes  pid=146560
[06:22:29.913986] AMF   READ     17     bytes  pid=146560
[06:22:29.914121] AMF   WRITE    8      bytes  pid=146560
[06:22:29.914161] AMF   READ     8      bytes  pid=146560
[06:22:29.914305] AMF   READ     2152   bytes  pid=146560
[06:22:29.914831] AMF   WRITE    22     bytes  pid=146560
[06:22:29.915023] AMF   WRITE    145    bytes  pid=146560
[06:22:29.923453] AMF   READ     17     bytes  pid=146560
[06:22:29.923590] AMF   WRITE    8      bytes  pid=146560
[06:22:29.923613] AMF   READ     8      bytes  pid=146560
[06:22:29.923772] AMF   READ     656    bytes  pid=146560
[06:22:29.924277] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:29.924305] AMF   WRITE    44     bytes  pid=146560
[06:22:29.924410] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:29.924424] AMF   WRITE    44     bytes  pid=146560
[06:22:29.924663] AMF   READ     64     bytes  pid=146560
[06:22:29.924905] AMF   WRITE    8      bytes  pid=146560
[06:22:29.924916] AMF   READ     8      bytes  pid=146560
[06:22:29.924953] AMF   READ     17     bytes  pid=146560
[06:22:29.924983] AMF   READ     33     bytes  pid=146560
[06:22:29.925374] AMF   CONNECT  → 10.100.200.11:8000      pid=146560
[06:22:29.925604] AMF   WRITE    70     bytes  pid=146560
[06:22:29.926039] AMF   READ     61     bytes  pid=146560
[06:22:29.926112] AMF   WRITE    589    bytes  pid=146560
[06:22:29.926167] AMF   WRITE    307    bytes  pid=146560
[06:22:29.926199] AMF   WRITE    9      bytes  pid=146560
[06:22:29.939702] AMF   READ     128    bytes  pid=146560
[06:22:29.939804] AMF   WRITE    8      bytes  pid=146560
[06:22:29.939820] AMF   READ     8      bytes  pid=146560
[06:22:29.940028] AMF   READ     335    bytes  pid=146560
[06:22:29.940217] AMF   WRITE    148    bytes  pid=146560
[06:22:29.940280] AMF   WRITE    157    bytes  pid=146560
[06:22:29.940477] AMF   WRITE    141    bytes  pid=146560
[06:22:29.941800] AMF   READ     17     bytes  pid=146560
[06:22:29.948211] AMF   WRITE    123    bytes  pid=146560
[06:22:29.948242] AMF   WRITE    178    bytes  pid=146560
[06:22:30.154573] AMF   WRITE    114    bytes  pid=146560
[06:22:30.154629] AMF   WRITE    169    bytes  pid=146560
[06:22:30.155993] AMF   WRITE    133    bytes  pid=146560
[06:22:30.156049] AMF   WRITE    152    bytes  pid=146560
[06:22:30.156218] AMF   WRITE    140    bytes  pid=146560
[06:22:30.156287] AMF   WRITE    157    bytes  pid=146560
[06:22:30.156306] AMF   WRITE    150    bytes  pid=146560
[06:22:30.156542] AMF   WRITE    140    bytes  pid=146560
[06:22:30.156634] AMF   WRITE    114    bytes  pid=146560
[06:22:30.156652] AMF   WRITE    169    bytes  pid=146560
[06:22:30.156715] AMF   WRITE    129    bytes  pid=146560
[06:22:30.156734] AMF   WRITE    147    bytes  pid=146560
[06:22:30.156744] AMF   WRITE    153    bytes  pid=146560
[06:22:30.156777] AMF   WRITE    177    bytes  pid=146560
[06:22:30.157084] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:30.157100] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:30.157112] AMF   WRITE    44     bytes  pid=146560
[06:22:30.157116] AMF   WRITE    44     bytes  pid=146560
[06:22:30.157317] AMF   READ     33     bytes  pid=146560
[06:22:30.157367] AMF   READ     64     bytes  pid=146560
[06:22:30.157555] AMF   CONNECT  → 10.100.200.4:8000       pid=146560
[06:22:30.157627] AMF   WRITE    70     bytes  pid=146560
[06:22:30.157756] AMF   WRITE    128    bytes  pid=146560
[06:22:30.157854] AMF   WRITE    132    bytes  pid=146560
[06:22:30.158081] AMF   READ     39     bytes  pid=146560
[06:22:30.158095] AMF   WRITE    9      bytes  pid=146560
[06:22:30.158233] AMF   READ     13     bytes  pid=146560
[06:22:30.158326] AMF   READ     9      bytes  pid=146560
[06:22:30.163274] AMF   READ     63     bytes  pid=146560
[06:22:30.163537] AMF   READ     626    bytes  pid=146560
[06:22:30.163851] AMF   WRITE    521    bytes  pid=146560
[06:22:30.167902] AMF   READ     17     bytes  pid=146560
[06:22:30.168143] AMF   READ     856    bytes  pid=146560
[06:22:30.168466] AMF   WRITE    21     bytes  pid=146560
[06:22:30.168585] AMF   WRITE    141    bytes  pid=146560
[06:22:30.174412] AMF   READ     17     bytes  pid=146560
