[*] Looking for NRF container process...
    pid=146207
    exe=/proc/146207/exe
    cgroup_id=25914

[*] Attaching uprobes...
  [uprobe] nrf_nf_register               github.com/free5gc/nrf/internal/sbi/processor.(*Processor).NFRegisterProcedure
  [uprobe] nrf_nf_deregister             github.com/free5gc/nrf/internal/sbi/processor.(*Processor).NFDeregisterProcedure
  [uprobe] nrf_get_nf_inst               github.com/free5gc/nrf/internal/sbi/processor.(*Processor).GetNFInstanceProcedure
  [uprobe] nrf_get_nf_inst_list          github.com/free5gc/nrf/internal/sbi/processor.(*Processor).GetNFInstancesProcedure
  [uprobe] nrf_update_nf_inst            github.com/free5gc/nrf/internal/sbi/processor.(*Processor).UpdateNFInstanceProcedure
  [uprobe] nrf_create_sub                github.com/free5gc/nrf/internal/sbi/processor.(*Processor).CreateSubscriptionProcedure
  [uprobe] nrf_remove_sub                github.com/free5gc/nrf/internal/sbi/processor.(*Processor).RemoveSubscriptionProcedure
  [uprobe] nrf_update_sub                github.com/free5gc/nrf/internal/sbi/processor.(*Processor).UpdateSubscriptionProcedure
  [uprobe] nrf_access_token              github.com/free5gc/nrf/internal/sbi/processor.(*Processor).AccessTokenProcedure
  [uprobe] nrf_nf_discovery              github.com/free5gc/nrf/internal/sbi/processor.(*Processor).NFDiscoveryProcedure
[*] Attaching tracepoints...
  [tp]     syscalls/sys_enter_connect
  [tp]     syscalls/sys_exit_connect
  [tp]     syscalls/sys_enter_accept4
  [tp]     syscalls/sys_exit_accept4
  [tp]     syscalls/sys_enter_write
  [tp]     syscalls/sys_exit_read

[*] Tracing NRF (pid=146207). Ctrl+C to stop.

TIMESTAMP               NF    EVENT      DETAIL
──────────────────────  ────  ─────────  ────────────────────────────────
[03:57:52.726358] NRF   WRITE    63     bytes  pid=146207
[03:57:52.726504] NRF   WRITE    8      bytes  pid=146207
[03:57:52.726528] NRF   READ     8      bytes  pid=146207
[03:57:52.726582] NRF   WRITE    628    bytes  pid=146207
[03:57:52.727604] NRF   WRITE    17     bytes  pid=146207
[03:57:52.727685] NRF   WRITE    8      bytes  pid=146207
[03:57:52.727706] NRF   READ     8      bytes  pid=146207
[03:57:52.730419] NRF   ACCEPT   ← 10.100.200.10:41662     pid=146207  fd=11
[03:57:52.730524] NRF   WRITE    8      bytes  pid=146207
[03:57:52.730543] NRF   READ     8      bytes  pid=146207
[03:57:52.730754] NRF   READ     70     bytes  pid=146207
[03:57:52.730893] NRF   WRITE    8      bytes  pid=146207
[03:57:52.730907] NRF   READ     8      bytes  pid=146207
[03:57:52.730952] NRF   WRITE    39     bytes  pid=146207
[03:57:52.731050] NRF   WRITE    13     bytes  pid=146207
[03:57:52.731144] NRF   WRITE    9      bytes  pid=146207
[03:57:52.731363] NRF   READ     9      bytes  pid=146207
[03:57:52.731572] NRF   READ     9      bytes  pid=146207
[03:57:52.731611] NRF   READ     122    bytes  pid=146207
[03:57:52.731738] NRF   WRITE    85     bytes  pid=146207
[03:57:52.731794] NRF   WRITE    8      bytes  pid=146207
[03:57:52.731812] NRF   READ     8      bytes  pid=146207
[03:57:52.732050] NRF   READ     9      bytes  pid=146207
[03:57:52.732064] NRF   READ     124    bytes  pid=146207
[03:57:52.732145] NRF   API      AccessToken               pid=146207 tid=148452
[03:57:52.732366] NRF   WRITE    196    bytes  pid=146207
[03:57:52.732823] NRF   READ     4      bytes  pid=146207
[03:57:52.732830] NRF   READ     666    bytes  pid=146207
[03:57:52.733363] NRF   READ     1302   bytes  pid=146207
[03:57:52.733470] NRF   WRITE    291    bytes  pid=146207
[03:57:52.733528] NRF   WRITE    157    bytes  pid=146207
[03:57:52.733861] NRF   READ     4      bytes  pid=146207
[03:57:52.733867] NRF   READ     1951   bytes  pid=146207
[03:57:52.738421] NRF   WRITE    112    bytes  pid=146207
[03:57:52.738513] NRF   WRITE    63     bytes  pid=146207
[03:57:52.738626] NRF   WRITE    8      bytes  pid=146207
[03:57:52.738637] NRF   READ     8      bytes  pid=146207
[03:57:52.738655] NRF   WRITE    626    bytes  pid=146207
[03:57:52.739728] NRF   WRITE    17     bytes  pid=146207
[03:57:52.739796] NRF   WRITE    8      bytes  pid=146207
[03:57:52.739810] NRF   READ     8      bytes  pid=146207
[03:57:52.742137] NRF   ACCEPT   ← 10.100.200.9:37730      pid=146207  fd=12
[03:57:52.742259] NRF   READ     70     bytes  pid=146207
[03:57:52.742489] NRF   READ     9      bytes  pid=146207
[03:57:52.742492] NRF   READ     119    bytes  pid=146207
[03:57:52.742522] NRF   WRITE    39     bytes  pid=146207
[03:57:52.742750] NRF   WRITE    22     bytes  pid=146207
[03:57:52.742837] NRF   READ     9      bytes  pid=146207
